,betweenness,closeness,degree,in degree,out degree,page rank,hits hub,hits authority
934851466082357249,0.0017797063494577612,0.3299677765843179,0.24060150375939848,0.09774436090225563,0.14285714285714285,0.007837761989255032,0.015290798830367332,0.012985197096925425
94732055,0.005039078217785109,0.34303580734013245,0.3383458646616541,0.15037593984962405,0.18796992481203006,0.013260028214886655,0.019145311603454215,0.018627944394637438
707112185076391936,0.00017029412692124964,0.24228403175771596,0.09022556390977443,0.015037593984962405,0.07518796992481203,0.002499983693463088,0.00799196599047869,0.0025176959864467215
947311503216066560,0.00441114963140277,0.3765936580581889,0.3609022556390977,0.24060150375939848,0.12030075187969924,0.019376247549613413,0.014425513609009373,0.028119752488958778
458399248,0.010020996560935413,0.30127492644655113,0.15789473684210525,0.07518796992481203,0.08270676691729323,0.00825245827421887,0.006124322107809379,0.00388605289662698
78969930,0.0054023324906500424,0.2538213666033215,0.23308270676691728,0.015037593984962405,0.21804511278195488,0.0033869384712853735,0.020253396423827105,0.0013575084659266175
4053818032,0.0014787689510297416,0.30796992481203006,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.008534624750206344,0.010828013874705998,0.011913448624951944
406303880,0.0021328379200449368,0.31354404109822065,0.24812030075187969,0.11278195488721804,0.13533834586466165,0.0101079977353109,0.01613618399793826,0.013571012125806867
132646210,0.0645555699251021,0.46819752082909977,0.5789473684210527,0.3609022556390977,0.21804511278195488,0.029489249479870847,0.01898348739832453,0.0376800413731403
14451127,0.0072610176637814,0.4052235852789869,0.41353383458646614,0.2932330827067669,0.12030075187969924,0.02288734785846376,0.014599749405000141,0.03319248491961228
3102522680,0.030756905589711007,0.36858102703567425,0.45864661654135336,0.24812030075187969,0.21052631578947367,0.01837992970359763,0.018365903652113172,0.0245375987131131
3033312071,0.0,0.0,0.09022556390977443,0.0,0.09022556390977443,0.001911835428600428,0.010582252218084943,-0.0
854719703545253888,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
894723591446687745,0.00012400510139677577,0.2220936957779063,0.045112781954887216,0.007518796992481203,0.03759398496240601,0.00241024926338128,0.004283865700333621,0.0003935063608927417
2309104237,0.00023096650023147336,0.26549131449312935,0.15789473684210525,0.03007518796992481,0.12781954887218044,0.004025388664158974,0.014953860341910298,0.003403946465176507
15455450,0.008527527817608946,0.35718161382838537,0.3609022556390977,0.18796992481203006,0.17293233082706766,0.01462235208999349,0.0169240492251651,0.022987581002378247
1477918760,0.0010482214973223426,0.29114803816263346,0.21052631578947367,0.09022556390977443,0.12030075187969924,0.006657986393163054,0.012879714288138397,0.01166140156735062
125483940,0.008512710308269562,0.36470122675108824,0.42857142857142855,0.21052631578947367,0.21804511278195488,0.0163428439246998,0.022036805113959286,0.026782930627380155
1527607790,0.0014106339136758879,0.31932365475901736,0.22556390977443608,0.11278195488721804,0.11278195488721804,0.008923090421567583,0.011863169667115661,0.014885734328288176
436609034,0.000676946035423805,0.30796992481203006,0.18045112781954886,0.08270676691729323,0.09774436090225563,0.00702929935474542,0.009826021174342043,0.011342472552680914
308456550,0.001316764990094801,0.30127492644655113,0.23308270676691728,0.11278195488721804,0.12030075187969924,0.008248929847014568,0.012686342352699418,0.014631601847071435
810893744593584128,0.0014864333827356675,0.3222941073614268,0.22556390977443608,0.11278195488721804,0.11278195488721804,0.008816644901221814,0.012359079776915093,0.015328527306066249
822183485523841025,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
18932422,0.017823484585813256,0.3892878263073414,0.39849624060150374,0.24060150375939848,0.15789473684210525,0.019399673877484338,0.015714800203642132,0.0269010647099901
1483247714,0.0,0.0,0.022556390977443608,0.0,0.022556390977443608,0.001911835428600428,0.002298322725308427,-0.0
341000847,0.012909397855378382,0.33474991827394573,0.39849624060150374,0.15037593984962405,0.24812030075187969,0.011290696749018322,0.024025071439863484,0.014821968855956536
735809541456027648,0.0003746432082781949,0.2986777288047705,0.11278195488721804,0.06766917293233082,0.045112781954887216,0.005888752212108254,0.005484602163340321,0.00712827502178952
824668943285702661,0.0005426023702941292,0.24836284259034683,0.05263157894736842,0.022556390977443608,0.03007518796992481,0.0034851611990381554,0.0037026009440830226,0.0015311100514359439
824812182114164736,0.0008902101626266002,0.2875237887249243,0.09022556390977443,0.045112781954887216,0.045112781954887216,0.004965144884592184,0.0058094801503871946,0.004374276652450194
2190533245,0.00921254148804288,0.31496924128503073,0.2556390977443609,0.10526315789473684,0.15037593984962405,0.00979236284038438,0.015006039902898175,0.010570269905624471
2601589496,0.012943997340269525,0.3745580166632798,0.41353383458646614,0.23308270676691728,0.18045112781954886,0.018565295938033254,0.01703487795063013,0.026118440259196653
788839271239184385,0.0,0.0,0.015037593984962405,0.0,0.015037593984962405,0.001911835428600428,0.0021952489303840896,-0.0
